id,left,top,right,bottom,화학적산소
1646,126.274999999999977,37.000000000000000,126.299999999999997,36.975000000000001,1.88856660
1646,126.274999999999977,37.000000000000000,126.299999999999997,36.975000000000001,1.75716450
1646,126.274999999999977,37.000000000000000,126.299999999999997,36.975000000000001,1.93450490
1646,126.274999999999977,37.000000000000000,126.299999999999997,36.975000000000001,1.83215040
1646,126.274999999999977,37.000000000000000,126.299999999999997,36.975000000000001,1.73183960
1646,126.274999999999977,37.000000000000000,126.299999999999997,36.975000000000001,1.88466260
1646,126.274999999999977,37.000000000000000,126.299999999999997,36.975000000000001,1.81205350
1646,126.274999999999977,37.000000000000000,126.299999999999997,36.975000000000001,1.75057880
3607,126.549999999999997,37.200000000000003,126.575000000000003,37.175000000000011,2.38259150
3607,126.549999999999997,37.200000000000003,126.575000000000003,37.175000000000011,2.41410730
3607,126.549999999999997,37.200000000000003,126.575000000000003,37.175000000000011,2.45115310
3607,126.549999999999997,37.200000000000003,126.575000000000003,37.175000000000011,2.49235310
3607,126.549999999999997,37.200000000000003,126.575000000000003,37.175000000000011,2.41280080
3607,126.549999999999997,37.200000000000003,126.575000000000003,37.175000000000011,2.43577690
3607,126.549999999999997,37.200000000000003,126.575000000000003,37.175000000000011,2.46363670
3607,126.549999999999997,37.200000000000003,126.575000000000003,37.175000000000011,2.49524450
3607,126.549999999999997,37.200000000000003,126.575000000000003,37.175000000000011,2.44215480
3607,126.549999999999997,37.200000000000003,126.575000000000003,37.175000000000011,2.45698630
3607,126.549999999999997,37.200000000000003,126.575000000000003,37.175000000000011,2.47592840
3607,126.549999999999997,37.200000000000003,126.575000000000003,37.175000000000011,2.49816630
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.27126770
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.33429730
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.40514180
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.48187030
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.31316890
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.36447060
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.42260400
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.48579350
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.34984410
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.39070380
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.43770020
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.48925150
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.38259150
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.41410730
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.45115310
3606,126.549999999999997,37.225000000000001,126.575000000000003,37.200000000000003,2.49235310
3605,126.549999999999997,37.250000000000000,126.575000000000003,37.225000000000001,2.16643770
3605,126.549999999999997,37.250000000000000,126.575000000000003,37.225000000000001,2.25573020
3605,126.549999999999997,37.250000000000000,126.575000000000003,37.225000000000001,2.35796120
3605,126.549999999999997,37.250000000000000,126.575000000000003,37.225000000000001,2.47147340
3605,126.549999999999997,37.250000000000000,126.575000000000003,37.225000000000001,2.22282950
3605,126.549999999999997,37.250000000000000,126.575000000000003,37.225000000000001,2.29879100
3605,126.549999999999997,37.250000000000000,126.575000000000003,37.225000000000001,2.38426120
3605,126.549999999999997,37.250000000000000,126.575000000000003,37.225000000000001,2.47728490
3605,126.549999999999997,37.250000000000000,126.575000000000003,37.225000000000001,2.27126770
3605,126.549999999999997,37.250000000000000,126.575000000000003,37.225000000000001,2.33429730
3605,126.549999999999997,37.250000000000000,126.575000000000003,37.225000000000001,2.40514180
3605,126.549999999999997,37.250000000000000,126.575000000000003,37.225000000000001,2.48187030
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,1.91851410
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.00617540
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.16762520
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.41412840
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.02020640
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.12446110
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.26589720
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.44738800
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.10016970
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.20076550
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.32185770
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.46287770
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.16643770
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.25573020
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.35796120
3604,126.549999999999997,37.274999999999999,126.575000000000003,37.250000000000000,2.47147340
3603,126.549999999999997,37.300000000000011,126.575000000000003,37.275000000000006,1.65236430
3603,126.549999999999997,37.300000000000011,126.575000000000003,37.275000000000006,1.48900580
3603,126.549999999999997,37.300000000000011,126.575000000000003,37.275000000000006,1.73696910
3603,126.549999999999997,37.300000000000011,126.575000000000003,37.275000000000006,2.21213810
3603,126.549999999999997,37.300000000000011,126.575000000000003,37.275000000000006,1.78612000
3603,126.549999999999997,37.300000000000011,126.575000000000003,37.275000000000006,1.80329870
3603,126.549999999999997,37.300000000000011,126.575000000000003,37.275000000000006,1.98650220
3603,126.549999999999997,37.300000000000011,126.575000000000003,37.275000000000006,2.33903270
3603,126.549999999999997,37.300000000000011,126.575000000000003,37.275000000000006,1.91851410
3603,126.549999999999997,37.300000000000011,126.575000000000003,37.275000000000006,2.00617540
3603,126.549999999999997,37.300000000000011,126.575000000000003,37.275000000000006,2.16762520
3603,126.549999999999997,37.300000000000011,126.575000000000003,37.275000000000006,2.41412840
1559,126.250000000000000,34.700000000000003,126.275000000000006,34.675000000000004,1.80376900
1559,126.250000000000000,34.700000000000003,126.275000000000006,34.675000000000004,2.00126270
1559,126.250000000000000,34.700000000000003,126.275000000000006,34.675000000000004,2.17655760
1559,126.250000000000000,34.700000000000003,126.275000000000006,34.675000000000004,2.32220230
1559,126.250000000000000,34.700000000000003,126.275000000000006,34.675000000000004,1.90035490
1559,126.250000000000000,34.700000000000003,126.275000000000006,34.675000000000004,2.04617920
