id,left,top,right,bottom,암모니아성
19980,128.824999999999989,35.100000000000001,128.849999999999994,35.075000000000003,31.79769500
19980,128.824999999999989,35.100000000000001,128.849999999999994,35.075000000000003,14.97013800
19980,128.824999999999989,35.100000000000001,128.849999999999994,35.075000000000003,20.50969400
19980,128.824999999999989,35.100000000000001,128.849999999999994,35.075000000000003,28.53824500
19980,128.824999999999989,35.100000000000001,128.849999999999994,35.075000000000003,3.61169970
19980,128.824999999999989,35.100000000000001,128.849999999999994,35.075000000000003,14.37288000
19980,128.824999999999989,35.100000000000001,128.849999999999994,35.075000000000003,25.73099600
2517,126.399999999999977,37.600000000000001,126.424999999999997,37.575000000000003,162.37586000
2517,126.399999999999977,37.600000000000001,126.424999999999997,37.575000000000003,165.25751000
2517,126.399999999999977,37.600000000000001,126.424999999999997,37.575000000000003,168.34589000
2517,126.399999999999977,37.600000000000001,126.424999999999997,37.575000000000003,171.67732000
2517,126.399999999999977,37.600000000000001,126.424999999999997,37.575000000000003,162.58153000
2517,126.399999999999977,37.600000000000001,126.424999999999997,37.575000000000003,165.48475000
2517,126.399999999999977,37.600000000000001,126.424999999999997,37.575000000000003,168.59350000
2517,126.399999999999977,37.600000000000001,126.424999999999997,37.575000000000003,171.94307000
2517,126.399999999999977,37.600000000000001,126.424999999999997,37.575000000000003,162.66966000
2517,126.399999999999977,37.600000000000001,126.424999999999997,37.575000000000003,165.57971000
2517,126.399999999999977,37.600000000000001,126.424999999999997,37.575000000000003,168.69049000
2517,126.399999999999977,37.600000000000001,126.424999999999997,37.575000000000003,172.03504000
2515,126.399999999999977,37.649999999999999,126.424999999999997,37.625000000000000,159.56225000
2515,126.399999999999977,37.649999999999999,126.424999999999997,37.625000000000000,162.10226000
2515,126.399999999999977,37.649999999999999,126.424999999999997,37.625000000000000,164.79510000
2515,126.399999999999977,37.649999999999999,126.424999999999997,37.625000000000000,167.66117000
2515,126.399999999999977,37.649999999999999,126.424999999999997,37.625000000000000,160.35088000
2515,126.399999999999977,37.649999999999999,126.424999999999997,37.625000000000000,162.98710000
2515,126.399999999999977,37.649999999999999,126.424999999999997,37.625000000000000,165.79342000
2515,126.399999999999977,37.649999999999999,126.424999999999997,37.625000000000000,168.79534000
2515,126.399999999999977,37.649999999999999,126.424999999999997,37.625000000000000,161.03293000
2515,126.399999999999977,37.649999999999999,126.424999999999997,37.625000000000000,163.75326000
