id,left,top,right,bottom,�Ի꿰
3054,126.474999999999994,37.600000000000001,126.500000000000000,37.575000000000003,920.84979000
3054,126.474999999999994,37.600000000000001,126.500000000000000,37.575000000000003,885.04007000
3054,126.474999999999994,37.600000000000001,126.500000000000000,37.575000000000003,901.25001000
3054,126.474999999999994,37.600000000000001,126.500000000000000,37.575000000000003,919.17792000
3053,126.474999999999994,37.625000000000000,126.500000000000000,37.600000000000001,876.80160000
3053,126.474999999999994,37.625000000000000,126.500000000000000,37.600000000000001,890.86533000
3053,126.474999999999994,37.625000000000000,126.500000000000000,37.600000000000001,906.15971000
3053,126.474999999999994,37.625000000000000,126.500000000000000,37.600000000000001,880.91585000
3053,126.474999999999994,37.625000000000000,126.500000000000000,37.600000000000001,896.06951000
3053,126.474999999999994,37.625000000000000,126.500000000000000,37.600000000000001,912.86106000
3053,126.474999999999994,37.625000000000000,126.500000000000000,37.600000000000001,883.88547000
3053,126.474999999999994,37.625000000000000,126.500000000000000,37.600000000000001,899.85884000
3053,126.474999999999994,37.625000000000000,126.500000000000000,37.600000000000001,917.78799000
3053,126.474999999999994,37.625000000000000,126.500000000000000,37.600000000000001,885.56191000
3053,126.474999999999994,37.625000000000000,126.500000000000000,37.600000000000001,901.98295000
3053,126.474999999999994,37.625000000000000,126.500000000000000,37.600000000000001,920.48897000
1007,126.174999999999997,35.075000000000003,126.200000000000003,35.050000000000004,318.79381000
1007,126.174999999999997,35.075000000000003,126.200000000000003,35.050000000000004,318.90884000
1007,126.174999999999997,35.075000000000003,126.200000000000003,35.050000000000004,319.22726000
1007,126.174999999999997,35.075000000000003,126.200000000000003,35.050000000000004,321.89034000
1007,126.174999999999997,35.075000000000003,126.200000000000003,35.050000000000004,322.85941000
1007,126.174999999999997,35.075000000000003,126.200000000000003,35.050000000000004,324.24900000
1007,126.174999999999997,35.075000000000003,126.200000000000003,35.050000000000004,324.76293000
1007,126.174999999999997,35.075000000000003,126.200000000000003,35.050000000000004,326.56931000
1007,126.174999999999997,35.075000000000003,126.200000000000003,35.050000000000004,329.03294000
1007,126.174999999999997,35.075000000000003,126.200000000000003,35.050000000000004,327.28512000
1007,126.174999999999997,35.075000000000003,126.200000000000003,35.050000000000004,329.87055000
1007,126.174999999999997,35.075000000000003,126.200000000000003,35.050000000000004,333.35582000
1005,126.174999999999997,35.125000000000000,126.200000000000003,35.100000000000001,303.83647000
1005,126.174999999999997,35.125000000000000,126.200000000000003,35.100000000000001,300.26673000
1005,126.174999999999997,35.125000000000000,126.200000000000003,35.100000000000001,296.14100000
1005,126.174999999999997,35.125000000000000,126.200000000000003,35.100000000000001,306.43875000
1005,126.174999999999997,35.125000000000000,126.200000000000003,35.100000000000001,303.47503000
1005,126.174999999999997,35.125000000000000,126.200000000000003,35.100000000000001,300.07109000
1005,126.174999999999997,35.125000000000000,126.200000000000003,35.100000000000001,309.32133000
1005,126.174999999999997,35.125000000000000,126.200000000000003,35.100000000000001,307.04273000
1005,126.174999999999997,35.125000000000000,126.200000000000003,35.100000000000001,304.45638000
1005,126.174999999999997,35.125000000000000,126.200000000000003,35.100000000000001,312.40337000
1005,126.174999999999997,35.125000000000000,126.200000000000003,35.100000000000001,310.87560000
1005,126.174999999999997,35.125000000000000,126.200000000000003,35.100000000000001,309.18940000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,426.33623000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,423.95964000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,422.23853000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,420.81716000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,418.67837000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,416.82351000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,415.49832000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,414.45698000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,410.52037000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,409.48244000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,408.75893000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,408.21460000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,402.14237000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,402.05802000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,402.04883000
2960,126.450000000000003,35.475000000000001,126.475000000000023,35.450000000000003,402.07351000
2975,126.450000000000003,35.100000000000001,126.475000000000023,35.075000000000003,266.30983000
2975,126.450000000000003,35.100000000000001,126.475000000000023,35.075000000000003,274.26765000
2975,126.450000000000003,35.100000000000001,126.475000000000023,35.075000000000003,281.56866000
2975,126.450000000000003,35.100000000000001,126.475000000000023,35.075000000000003,288.26262000
2975,126.450000000000003,35.100000000000001,126.475000000000023,35.075000000000003,270.35383000
2975,126.450000000000003,35.100000000000001,126.475000000000023,35.075000000000003,277.54355000
2975,126.450000000000003,35.100000000000001,126.475000000000023,35.075000000000003,284.18444000
2975,126.450000000000003,35.100000000000001,126.475000000000023,35.075000000000003,290.31559000
2975,126.450000000000003,35.100000000000001,126.475000000000023,35.075000000000003,275.07219000
2975,126.450000000000003,35.100000000000001,126.475000000000023,35.075000000000003,281.34248000
2975,126.450000000000003,35.100000000000001,126.475000000000023,35.075000000000003,287.21002000
2975,126.450000000000003,35.100000000000001,126.475000000000023,35.075000000000003,292.69248000
2974,126.450000000000003,35.125000000000000,126.475000000000023,35.100000000000001,260.16042000
2974,126.450000000000003,35.125000000000000,126.475000000000023,35.100000000000001,269.15984000
2974,126.450000000000003,35.125000000000000,126.475000000000023,35.100000000000001,277.47480000
2974,126.450000000000003,35.125000000000000,126.475000000000023,35.100000000000001,285.10911000
2974,126.450000000000003,35.125000000000000,126.475000000000023,35.100000000000001,261.12636000
2974,126.450000000000003,35.125000000000000,126.475000000000023,35.100000000000001,269.98469000
2974,126.450000000000003,35.125000000000000,126.475000000000023,35.100000000000001,278.12859000
2974,126.450000000000003,35.125000000000000,126.475000000000023,35.100000000000001,285.58355000
2974,126.450000000000003,35.125000000000000,126.475000000000023,35.100000000000001,263.18655000
