fid,id,left,top,right,bottom,¼ö¿Â
"118",5766,126.85,36.925,126.875,36.9,26.207122
"119",5766,126.85,36.925,126.875,36.9,26.21839
"120",5766,126.85,36.925,126.875,36.9,26.179164
"121",5766,126.85,36.925,126.875,36.9,26.236033
"122",5766,126.85,36.925,126.875,36.9,26.271356
"123",5766,126.85,36.925,126.875,36.9,26.298778
"124",5766,126.85,36.925,126.875,36.9,26.261786
"125",5766,126.85,36.925,126.875,36.9,26.326954
"126",5766,126.85,36.925,126.875,36.9,26.391424
"127",5766,126.85,36.925,126.875,36.9,26.424551
"128",5765,126.85,36.95,126.875,36.925,26.012307
"129",5765,126.85,36.95,126.875,36.925,26.082689
"130",5765,126.85,36.95,126.875,36.925,26.139421
"131",5765,126.85,36.95,126.875,36.925,26.178161
"132",5765,126.85,36.95,126.875,36.925,26.048269
"133",5765,126.85,36.95,126.875,36.925,26.126027
"134",5765,126.85,36.95,126.875,36.925,26.176519
"135",5765,126.85,36.95,126.875,36.925,26.196935
"136",5765,126.85,36.95,126.875,36.925,26.075087
"137",5765,126.85,36.95,126.875,36.925,26.156506
"138",5765,126.85,36.95,126.875,36.925,26.192252
"139",5765,126.85,36.95,126.875,36.925,26.195453
"140",7823,127.125,34.725,127.15,34.7,26.916072
"141",7823,127.125,34.725,127.15,34.7,26.927243
"142",7823,127.125,34.725,127.15,34.7,26.939226
"143",7823,127.125,34.725,127.15,34.7,26.911265
"144",7823,127.125,34.725,127.15,34.7,26.922032
"145",7823,127.125,34.725,127.15,34.7,26.933547
"146",7823,127.125,34.725,127.15,34.7,26.906205
"147",7823,127.125,34.725,127.15,34.7,26.916551
"148",7823,127.125,34.725,127.15,34.7,26.92758
"149",7823,127.125,34.725,127.15,34.7,26.900927
"150",7823,127.125,34.725,127.15,34.7,26.910839
"151",7823,127.125,34.725,127.15,34.7,26.921373
"152",1719,126.275,35.175,126.3,35.15,27.336301
"153",1719,126.275,35.175,126.3,35.15,27.335664
"154",1719,126.275,35.175,126.3,35.15,27.371077
"155",1719,126.275,35.175,126.3,35.15,27.323953
"156",1719,126.275,35.175,126.3,35.15,27.323036
"157",1719,126.275,35.175,126.3,35.15,27.355856
"158",1719,126.275,35.175,126.3,35.15,27.282214
"159",1719,126.275,35.175,126.3,35.15,27.301038
"160",1719,126.275,35.175,126.3,35.15,27.334857
"161",1719,126.275,35.175,126.3,35.15,27.246876
"162",1719,126.275,35.175,126.3,35.15,27.27642
"163",1719,126.275,35.175,126.3,35.15,27.315418
"164",1718,126.275,35.2,126.3,35.175,27.341444
"165",1718,126.275,35.2,126.3,35.175,27.367703
"166",1718,126.275,35.2,126.3,35.175,27.403489
"167",1718,126.275,35.2,126.3,35.175,27.327943
"168",1718,126.275,35.2,126.3,35.175,27.347378
"169",1718,126.275,35.2,126.3,35.175,27.383613
"170",1718,126.275,35.2,126.3,35.175,27.336301
"171",1718,126.275,35.2,126.3,35.175,27.335664
"172",1718,126.275,35.2,126.3,35.175,27.371077
"173",1717,126.275,35.225,126.3,35.2,27.424065
"174",1717,126.275,35.225,126.3,35.2,27.430052
"175",1717,126.275,35.225,126.3,35.2,27.481975
"176",1717,126.275,35.225,126.3,35.2,27.412972
"177",1717,126.275,35.225,126.3,35.2,27.417425
"178",1717,126.275,35.225,126.3,35.2,27.463411
"179",1717,126.275,35.225,126.3,35.2,27.37432
"180",1717,126.275,35.225,126.3,35.2,27.394491
"181",1717,126.275,35.225,126.3,35.2,27.43337
"182",1717,126.275,35.225,126.3,35.2,27.341444
"183",1717,126.275,35.225,126.3,35.2,27.367703
"184",1717,126.275,35.225,126.3,35.2,27.403489
"185",1716,126.275,35.25,126.3,35.225,27.426277
"186",1716,126.275,35.25,126.3,35.225,27.458358
"187",1716,126.275,35.25,126.3,35.225,27.505629
"188",1716,126.275,35.25,126.3,35.225,27.417157
"189",1716,126.275,35.25,126.3,35.225,27.441839
"190",1716,126.275,35.25,126.3,35.225,27.491631
"191",1716,126.275,35.25,126.3,35.225,27.424065
"192",1716,126.275,35.25,126.3,35.225,27.430052
"193",1716,126.275,35.25,126.3,35.225,27.481975
"194",3775,126.575,37.475,126.6,37.45,26.520808
"195",3775,126.575,37.475,126.6,37.45,26.485841
"196",3775,126.575,37.475,126.6,37.45,26.46689
"197",3775,126.575,37.475,126.6,37.45,26.494433
"198",3775,126.575,37.475,126.6,37.45,26.471413
"199",3775,126.575,37.475,126.6,37.45,26.456848
"200",3775,126.575,37.475,126.6,37.45,26.457078
"201",3775,126.575,37.475,126.6,37.45,26.449878
"202",3775,126.575,37.475,126.6,37.45,26.443147
"203",3775,126.575,37.475,126.6,37.45,26.441625
"204",3775,126.575,37.475,126.6,37.45,26.437061
"205",3775,126.575,37.475,126.6,37.45,26.431914
