id,left,top,right,bottom,БъјТ
2918,126.450000000000003,36.524999999999999,126.475000000000023,36.500000000000000,286.78913000
2918,126.450000000000003,36.524999999999999,126.475000000000023,36.500000000000000,276.30347000
2918,126.450000000000003,36.524999999999999,126.475000000000023,36.500000000000000,277.84825000
2918,126.450000000000003,36.524999999999999,126.475000000000023,36.500000000000000,284.65863000
2918,126.450000000000003,36.524999999999999,126.475000000000023,36.500000000000000,281.43553000
2918,126.450000000000003,36.524999999999999,126.475000000000023,36.500000000000000,274.30828000
2917,126.450000000000003,36.550000000000011,126.475000000000023,36.525000000000006,248.73640000
2917,126.450000000000003,36.550000000000011,126.475000000000023,36.525000000000006,250.38942000
2917,126.450000000000003,36.550000000000011,126.475000000000023,36.525000000000006,255.64825000
2917,126.450000000000003,36.550000000000011,126.475000000000023,36.525000000000006,260.49865000
2917,126.450000000000003,36.550000000000011,126.475000000000023,36.525000000000006,241.33906000
2917,126.450000000000003,36.550000000000011,126.475000000000023,36.525000000000006,244.57076000
2917,126.450000000000003,36.550000000000011,126.475000000000023,36.525000000000006,254.63380000
2917,126.450000000000003,36.550000000000011,126.475000000000023,36.525000000000006,261.22644000
2917,126.450000000000003,36.550000000000011,126.475000000000023,36.525000000000006,242.48220000
2917,126.450000000000003,36.550000000000011,126.475000000000023,36.525000000000006,248.20165000
2917,126.450000000000003,36.550000000000011,126.475000000000023,36.525000000000006,260.87962000
2917,126.450000000000003,36.550000000000011,126.475000000000023,36.525000000000006,265.46229000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,262.78231000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,263.45533000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,264.68409000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,266.30142000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,259.65407000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,260.24485000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,261.84386000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,263.93832000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,255.14339000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,255.99512000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,258.69524000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,261.81151000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,248.73640000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,250.38942000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,255.64825000
2916,126.450000000000003,36.575000000000003,126.475000000000023,36.550000000000011,260.49865000
11039,127.575000000000003,34.875000000000000,127.600000000000023,34.850000000000001,248.88109000
11039,127.575000000000003,34.875000000000000,127.600000000000023,34.850000000000001,247.29846000
11039,127.575000000000003,34.875000000000000,127.600000000000023,34.850000000000001,244.96099000
