°ÝÀÚ¹øÈ£,¿°ºÐ¿©ºÎ,Æò±Õ¿°ºÐ,¼ö¿Â¿©ºÎ,Æò±Õ¼ö¿Â
GR3_F2O22_H,Y,29.971580645161293,Y,26.19290322580645
GR3_F2O22_I,Y,29.991225806451617,Y,26.595806451612905
GR3_F2O11_N,Y,31.301612903225806,Y,23.59387096774194
GR3_F2O11_O,Y,31.0958064516129,Y,24.023870967741935
GR3_F2O12_K,Y,30.885935483870966,Y,24.570967741935483
GR3_F2O12_L,Y,30.67161290322581,Y,24.903548387096773
GR3_F2O12_M,Y,30.544483870967742,Y,25.291935483870965
GR3_F2O12_N,Y,30.42929032258064,Y,25.56096774193549
GR3_F2O22_L,Y,29.840096774193547,Y,26.437741935483874
GR3_F2O22_M,Y,29.859677419354842,Y,26.7041935483871
GR3_F2O22_N,Y,29.879290322580644,Y,26.892903225806446
GR3_F2O11_R,Y,31.409451612903226,Y,23.363225806451613
GR3_F2O11_S,Y,31.38238709677419,Y,23.82387096774193
GR3_F2O12_P,N,0.0,N,0.0
GR3_F2O12_Q,Y,30.764193548387098,Y,25.65677419354838
GR3_F2O12_R,Y,30.636999999999997,Y,25.932580645161288
GR3_F2O11_W,Y,31.516290322580645,Y,23.658709677419356
GR3_F2O11_X,N,0.0,N,0.0
GR3_F2O12_U,N,0.0,N,0.0
GR3_F2O13_C,Y,31.611709677419363,Y,24.04870967741936
GR3_F2O13_D,Y,31.573193548387096,Y,24.73290322580645
GR3_F2O13_E,Y,31.38012903225807,Y,25.57677419354839
GR3_F2O14_A,N,0.0,N,0.0
GR3_F2O13_H,Y,31.672451612903224,Y,24.303225806451614
GR3_F2O13_I,Y,31.668548387096774,Y,25.031612903225803
GR3_F2O13_J,Y,31.47264516129032,Y,25.79354838709677
GR3_F2O14_F,Y,31.257161290322575,Y,26.542903225806455
GR3_F2O14_K,Y,31.349741935483866,Y,26.353548387096772
GR3_F2O14_L,Y,31.134225806451617,Y,27.00903225806451
GR3_F2O14_M,Y,31.00709677419355,Y,27.451290322580643
GR3_F2O14_N,Y,30.914193548387097,Y,27.57258064516129
GR3_F2O14_P,Y,31.4421935483871,Y,26.065806451612904
GR3_F2O14_Q,Y,31.226774193548387,Y,26.741290322580646
GR3_F2O14_R,Y,31.10167741935484,Y,27.43903225806452
GR3_F2O14_S,Y,31.013419354838707,Y,27.672580645161293
GR3_F2O14_T,Y,30.924903225806453,Y,27.63806451612903
GR3_F2O14_V,Y,31.31925806451613,Y,26.440645161290316
GR3_F2O14_W,Y,31.200967741935486,Y,27.200322580645164
GR3_F2O14_X,Y,31.112709677419357,Y,27.52612903225807
GR3_F2O14_Y,Y,31.02425806451613,Y,27.583225806451615
GR3_F2O32_B,Y,31.4118064516129,Y,26.086129032258064
GR3_F2O32_C,Y,31.3001935483871,Y,26.74258064516129
GR3_F2O32_D,Y,31.211935483870967,Y,27.021935483870966
GR3_F2O32_E,Y,31.123548387096776,Y,27.023225806451617
GR3_F2O32_G,Y,31.504419354838703,Y,25.75483870967742
GR3_F2O32_H,N,0.0,N,0.0
GR3_F2O32_I,Y,31.311129032258062,Y,26.541935483870965
GR3_F2O32_J,Y,31.22274193548387,Y,26.643548387096775
GR3_F2O41_F,Y,30.404451612903223,Y,26.853548387096772
GR3_F2O32_N,Y,31.410354838709672,Y,26.259677419354837
GR3_F2O32_O,Y,31.322032258064514,Y,26.569032258064517
GR3_F2O41_K,Y,30.29261290322581,Y,26.862580645161295
GR3_F2O41_L,N,0.0,N,0.0
GR3_F2O32_T,Y,31.421354838709675,Y,26.494193548387095
GR3_F2O41_P,Y,30.180774193548388,Y,26.791612903225804
GR3_F2O41_Q,N,0.0,N,0.0
GR3_F2O41_U,Y,30.06883870967742,Y,26.935483870967747
GR3_F2O43_A,Y,29.944935483870964,Y,27.156666666666663
GR3_F2O34_J,Y,30.58558064516129,Y,26.95645161290323
GR3_F2O43_F,Y,29.778612903225806,Y,27.091935483870966
GR3_F2O34_O,Y,30.186096774193544,Y,26.87
GR3_F2O43_K,Y,28.312032258064516,Y,27.142903225806446
GR3_F2O43_L,N,0.0,N,0.0
GR3_F2O43_M,N,0.0,N,0.0
GR3_F2O43_Q,Y,28.39729032258065,Y,27.290967741935482
GR3_F2O43_R,Y,28.28141935483871,Y,27.35451612903226
GR3_F2O43_W,Y,28.631806451612906,Y,27.08290322580645
GR3_F2O43_X,N,0.0,N,0.0
GR3_F2O43_Y,Y,28.41958064516129,Y,27.30322580645161
GR3_F2O44_U,Y,28.24396774193549,Y,27.25935483870968
GR3_F4C21_A,Y,30.060612903225806,Y,26.269032258064517
GR3_F4C21_B,Y,29.899451612903228,Y,26.6658064516129
GR3_F4C21_C,Y,29.838645161290323,Y,26.98
GR3_F4C21_D,Y,28.754483870967736,Y,27.22516129032258
GR3_F4C21_E,Y,28.730548387096775,Y,27.30258064516128
GR3_F4C22_A,Y,28.70667741935484,Y,27.171935483870964
GR3_F4C21_F,Y,30.441354838709678,Y,26.38193548387096
GR3_F4C12_O,Y,31.255580645161288,Y,26.797741935483874
GR3_F4C21_K,Y,30.636161290322576,Y,26.79096774193548
GR3_F4C12_S,Y,31.659193548387094,Y,27.75741935483871
GR3_F4C12_T,Y,31.426,Y,27.182580645161288
GR3_F4C12_Y,Y,31.596225806451613,Y,27.169677419354837
GR3_F4C21_U,Y,30.83409677419355,Y,27.074516129032254
GR3_F4C23_A,Y,30.986516129032253,Y,27.032903225806454
GR3_F4C23_B,Y,30.901677419354836,Y,27.27322580645161
GR3_G3B14_E,Y,33.32590322580645,Y,25.859354838709677
GR3_F4C14_J,Y,31.29577419354839,Y,26.98516129032258
GR3_F4C23_F,Y,31.15138709677419,Y,27.118709677419353
GR3_F4C23_G,Y,31.066451612903226,Y,27.12225806451613
GR3_F4C14_O,Y,31.042645161290316,Y,27.27354838709677
GR3_F4C23_M,N,0.0,N,0.0
GR3_G3B14_N,N,0.0,N,0.0
